Individual,seed,Vmean,Vstd,Amean,Astd,M,Cd,Cd_error,Re,Re_error
KELLOGG1279_NM2,18,1.454767774,0.073824432,3.87E-05,1.20E-05,4.27E-06,0.845333096,0.275704691,638.1245086,56.66113147
KELLOGG1279_NM2,19,1.334119392,0.08505983,3.38E-05,8.04E-06,4.57E-06,1.231976243,0.332304329,547.1668981,40.24819117
KELLOGG1279_NM2,20,1.36520122,0.042703045,2.67E-05,4.74E-06,4.21E-06,1.369201619,0.257534882,497.8945075,30.8784928
Kersia,1,1.989778477,0.043501354,1.52E-05,2.02E-06,2.56E-06,0.69461377,0.096827342,584.3997142,23.17755093
Kersia,2,2.026378192,0.125781834,9.92E-06,7.19E-07,2.13E-06,0.853880714,0.122734961,480.073597,31.04189999
Kersia,3,2.377687455,0.099523189,1.05E-05,8.23E-07,3.21E-06,0.884256908,0.101412362,579.4531215,26.78100129
TK237,1,1.922812177,0,2.42E-06,NaN,2.01E-06,3.640092665,NaN,211.11412,NaN
TK237,2,1.743740441,0,2.22E-06,NaN,2.38E-06,5.694885295,NaN,183.4270921,NaN
TK237,3,1.263308973,0,2.29E-06,NaN,1.57E-06,6.943859407,NaN,134.9301679,NaN
TK237,4,2.034886286,0,2.07E-06,NaN,2.47E-06,4.658379155,NaN,206.6319278,NaN
TK237,5,2.370266993,0,2.15E-06,NaN,1.99E-06,2.664976161,NaN,245.1393228,NaN
TK257,1,2.783497921,0.095532853,1.83E-05,4.04E-06,6.76E-06,0.774598511,0.179198016,839.0129559,57.44316799
TK257,2,3.92546118,0.061300799,1.94E-05,2.39E-06,7.77E-06,0.420977819,0.053436855,1220.091377,62.00963049
TK257,3,3.328809635,0.470617305,2.56E-05,9.78E-06,7.20E-06,0.411095033,0.195377862,1188.062247,123.2224225
TK257,4,2.939579916,0.133459874,1.59E-05,2.21E-06,7.04E-06,0.831835841,0.138112085,825.9396941,44.05138291
TK257,5,2.772582666,0.200700068,2.03E-05,5.54E-06,6.17E-06,0.64033142,0.197668035,881.312606,69.85673179
TK257,6,3.631760292,0.03679346,1.60E-05,1.34E-06,9.01E-06,0.690769052,0.059451107,1025.367085,46.69958255
TK257,7,2.885149248,0.10591379,1.76E-05,4.41E-06,5.94E-06,0.655843755,0.170957193,854.2835841,63.62438122
TK257,8,3.283028914,0.118028531,1.99E-05,1.40E-06,7.60E-06,0.573756552,0.057709076,1033.442416,45.59054692
TK257,9,3.048531862,0.082820666,1.48E-05,1.29E-06,8.99E-06,1.062403124,0.109188143,825.9515916,37.96356555
TK257,10,2.694690212,0.052301657,1.65E-05,2.02E-06,7.98E-06,1.077622235,0.137974808,772.8358799,39.15915595
TK257,11,2.717817882,0.072669781,1.64E-05,1.60E-06,6.73E-06,0.90200024,0.100175,775.9403692,36.63500684
TK257,12,3.854019683,0.061712605,1.71E-05,1.80E-06,7.31E-06,0.466435981,0.051400168,1123.851562,54.27003593
TK257,13,3.02925454,0.205639812,1.91E-05,6.68E-06,6.19E-06,0.573660733,0.215703887,932.7926133,90.05927261
TK257,14,2.903465021,0.073944952,1.71E-05,1.84E-06,6.34E-06,0.713952343,0.085151484,846.3764138,41.1506593
TK257,15,2.708571905,0.094318076,1.77E-05,4.44E-06,6.25E-06,0.77800755,0.202218242,804.7418656,59.98530534
TK257,16,3.284128752,0.156988206,1.88E-05,3.07E-06,7.85E-06,0.628771415,0.119190723,1003.356871,57.73943182
TK257,17,3.506149814,0.088281444,2.18E-05,3.17E-06,6.58E-06,0.397996984,0.061302786,1154.469413,62.82358084
TK257,18,3.866522264,0.243750709,2.11E-05,5.04E-06,7.25E-06,0.373390786,0.100973004,1251.342234,90.35637938
TK257,19,2.84198138,0.039895677,1.85E-05,4.03E-06,6.95E-06,0.752759984,0.16510296,862.9967134,58.49519853
TK257,20,2.895192392,0.167302384,1.49E-05,8.65E-07,7.48E-06,0.969290606,0.125297019,789.0098949,33.90487778
TK504,1,1.6336963,0,9.24E-06,NaN,4.98E-06,3.270567126,NaN,350.3088348,NaN
TK504,2,2.777463342,0,9.89E-06,NaN,3.51E-06,0.746862574,NaN,615.9005888,NaN
TK504,3,1.552845167,0,6.29E-06,NaN,6.26E-06,6.690333535,NaN,274.7372865,NaN
TK504,4,1.690526172,0,8.27E-06,NaN,4.64E-06,3.186606429,NaN,342.7595805,NaN
TK504,5,1.515545279,0,8.19E-06,NaN,4.32E-06,3.723401595,NaN,305.9526967,NaN
TK504,6,1.858849052,0,7.66E-06,NaN,7.09E-06,4.3389412,NaN,362.9164997,NaN
TK504,7,1.73176939,0,1.03E-05,NaN,6.38E-06,3.335647396,NaN,392.7771344,NaN
TK504,8,1.897008357,0,7.82E-06,NaN,5.35E-06,3.080264474,NaN,374.2017115,NaN
TK504,9,2.473196438,0,7.56E-06,NaN,5.04E-06,1.767167096,NaN,479.5880498,NaN
TK504,10,1.424013402,0,1.07E-05,NaN,4.15E-06,3.093562835,NaN,328.8497382,NaN
TK504,11,1.895496419,0,7.07E-06,NaN,6.06E-06,3.86556204,NaN,355.4617253,NaN
TK504,12,2.072445032,0,9.65E-06,NaN,8.47E-06,3.311384598,NaN,454.1325531,NaN
TK504,13,1.45915328,0,9.62E-06,NaN,4.57E-06,3.619426693,NaN,319.0954394,NaN
TK504,14,1.729214224,0,8.57E-06,NaN,6.56E-06,4.149320305,NaN,357.0879476,NaN
TK504,15,1.645699308,0,9.06E-06,NaN,5.26E-06,3.47476911,NaN,349.4190329,NaN
Teosinte,1,4.573418695,0.238239744,1.72E-05,NaN,3.49E-05,1.588347329,0.165481224,1425.696835,74.26777893
Teosinte,2,4.264135172,0.075073199,1.61E-05,NaN,3.69E-05,2.057671856,0.072453617,1287.850352,22.67354139
Teosinte,3,4.532042257,0.107050105,2.21E-05,NaN,3.90E-05,1.401628554,0.066214954,1603.476979,37.87528207
Teosinte,4,4.259126648,0.172171849,1.85E-05,NaN,3.47E-05,1.691253183,0.136735162,1378.633725,55.73018523
Teosinte,5,4.372393036,0.18634535,1.37E-05,NaN,1.82E-05,1.136576556,0.096878645,1217.987418,51.90894092
